Outcome	Date	Surface	Partner	Opponents	Score
Runner-up	17 August 2008	Hard	Sorana Cîrstea	Květa Peschke Lisa Raymond	6–4, 5–7, [7–10]
Winner	12 July 2009	Clay	Alisa Kleybanova	Alona Bondarenko Kateryna Bondarenko	6–4, 7–6 (7–5)
Runner-up	2 August 2009	Hard	Chan Yung-jan	Serena Williams Venus Williams	1–6, 4–6
Runner-up	16 January 2010	Hard	Chan Yung-jan	Květa Peschke Chuang Chia-jung	6–3, 3–6, [7–10]
Runner-up	18 July 2010	Clay	Ágnes Szávay	Timea Bacsinszky Tathiana Garbin	5–7, 6–7 (4–7)
Runner-up	23 July 2011	Hard	Galina Voskoboeva	Mariya Koryttseva Tatiana Poutchek	3–6, 6–2, [8–10]
Winner	14 January 2012	Hard	Irina-Camelia Begu	Chuang Chia-jung Marina Erakovic	6–7 (4–7) , 7–6 (7–4) , [10–5]
Runner-up	22 September 2012	Hard	Jarmila Gajdošová	Tamarine Tanasugarn Zhang Shuai	6–2, 2–6, [8–10]
Runner-up	21 October 2012	Hard (i)	Irina-Camelia Begu	Andrea Hlaváčková Lucie Hradecká	3–6, 4–6
Runner-up	22 June 2013	Grass	Klára Zakopalová	Nadia Petrova Katarina Srebotnik	3-6, 3-6
